Timestamp,Raw,Voltage
2025-09-22 00:38:25.879094,223,0.18
2025-09-22 00:38:25.979219,496,0.4
2025-09-22 00:38:26.080183,1419,1.14
2025-09-22 00:38:26.179080,327,0.26
2025-09-22 00:38:26.279058,630,0.51
2025-09-22 00:38:26.380107,1319,1.06
2025-09-22 00:38:26.479215,715,0.58
2025-09-22 00:38:26.578046,97,0.08
2025-09-22 00:38:26.679310,215,0.17
2025-09-22 00:38:26.779225,112,0.09
2025-09-22 00:38:26.879203,227,0.18
2025-09-22 00:38:26.979214,534,0.43
2025-09-22 00:38:27.079222,574,0.46
2025-09-22 00:38:27.180326,4095,3.3
2025-09-22 00:38:27.280245,2890,2.33
2025-09-22 00:38:27.380108,1133,0.91
2025-09-22 00:38:27.479090,304,0.24
2025-09-22 00:38:27.579562,497,0.4
2025-09-22 00:38:27.679212,222,0.18
2025-09-22 00:38:27.779101,316,0.25
2025-09-22 00:38:27.879087,874,0.7
2025-09-22 00:38:27.979061,174,0.14
2025-09-22 00:38:28.079119,175,0.14
2025-09-22 00:38:28.179083,432,0.35
2025-09-22 00:38:28.279100,730,0.59
2025-09-22 00:38:28.379206,115,0.09
2025-09-22 00:38:28.479219,525,0.42
2025-09-22 00:38:28.579201,113,0.09
2025-09-22 00:38:28.678035,61,0.05
2025-09-22 00:38:28.779067,620,0.5
2025-09-22 00:38:28.879165,141,0.11
2025-09-22 00:38:28.979228,464,0.37
2025-09-22 00:38:29.079223,566,0.46
2025-09-22 00:38:29.179060,128,0.1
2025-09-22 00:38:29.279199,352,0.28
2025-09-22 00:38:29.379228,609,0.49
2025-09-22 00:38:29.479205,455,0.37
2025-09-22 00:38:29.579196,283,0.23
2025-09-22 00:38:29.678171,85,0.07
2025-09-22 00:38:29.778051,48,0.04
2025-09-22 00:38:29.879206,327,0.26
2025-09-22 00:38:29.979169,256,0.21
2025-09-22 00:38:30.079206,208,0.17
2025-09-22 00:38:30.178033,67,0.05
2025-09-22 00:38:30.279179,178,0.14
2025-09-22 00:38:30.379112,268,0.22
2025-09-22 00:38:30.479203,283,0.23
2025-09-22 00:38:30.579192,338,0.27
2025-09-22 00:38:30.679075,368,0.3
2025-09-22 00:38:30.779077,353,0.28
